nodeId1,portId1,nodeId2,portId2,bandwidth,delay
0,0,1024,0,400Gbps,1ns
0,1,1152,0,400Gbps,1ns
0,2,1280,0,400Gbps,1ns
0,3,1408,0,400Gbps,1ns
0,4,1536,0,400Gbps,1ns
0,5,1664,0,400Gbps,1ns
0,6,1792,0,400Gbps,1ns
0,7,1920,0,400Gbps,1ns
1,0,1024,1,400Gbps,1ns
1,1,1152,1,400Gbps,1ns
1,2,1280,1,400Gbps,1ns
1,3,1408,1,400Gbps,1ns
1,4,1536,1,400Gbps,1ns
1,5,1664,1,400Gbps,1ns
1,6,1792,1,400Gbps,1ns
1,7,1920,1,400Gbps,1ns
2,0,1024,2,400Gbps,1ns
2,1,1152,2,400Gbps,1ns
2,2,1280,2,400Gbps,1ns
2,3,1408,2,400Gbps,1ns
2,4,1536,2,400Gbps,1ns
2,5,1664,2,400Gbps,1ns
2,6,1792,2,400Gbps,1ns
2,7,1920,2,400Gbps,1ns
3,0,1024,3,400Gbps,1ns
3,1,1152,3,400Gbps,1ns
3,2,1280,3,400Gbps,1ns
3,3,1408,3,400Gbps,1ns
3,4,1536,3,400Gbps,1ns
3,5,1664,3,400Gbps,1ns
3,6,1792,3,400Gbps,1ns
3,7,1920,3,400Gbps,1ns
4,0,1024,4,400Gbps,1ns
4,1,1152,4,400Gbps,1ns
4,2,1280,4,400Gbps,1ns
4,3,1408,4,400Gbps,1ns
4,4,1536,4,400Gbps,1ns
4,5,1664,4,400Gbps,1ns
4,6,1792,4,400Gbps,1ns
4,7,1920,4,400Gbps,1ns
5,0,1024,5,400Gbps,1ns
5,1,1152,5,400Gbps,1ns
5,2,1280,5,400Gbps,1ns
5,3,1408,5,400Gbps,1ns
5,4,1536,5,400Gbps,1ns
5,5,1664,5,400Gbps,1ns
5,6,1792,5,400Gbps,1ns
5,7,1920,5,400Gbps,1ns
6,0,1024,6,400Gbps,1ns
6,1,1152,6,400Gbps,1ns
6,2,1280,6,400Gbps,1ns
6,3,1408,6,400Gbps,1ns
6,4,1536,6,400Gbps,1ns
6,5,1664,6,400Gbps,1ns
6,6,1792,6,400Gbps,1ns
6,7,1920,6,400Gbps,1ns
7,0,1024,7,400Gbps,1ns
7,1,1152,7,400Gbps,1ns
7,2,1280,7,400Gbps,1ns
7,3,1408,7,400Gbps,1ns
7,4,1536,7,400Gbps,1ns
7,5,1664,7,400Gbps,1ns
7,6,1792,7,400Gbps,1ns
7,7,1920,7,400Gbps,1ns
8,0,1025,0,400Gbps,1ns
8,1,1153,0,400Gbps,1ns
8,2,1281,0,400Gbps,1ns
8,3,1409,0,400Gbps,1ns
8,4,1537,0,400Gbps,1ns
8,5,1665,0,400Gbps,1ns
8,6,1793,0,400Gbps,1ns
8,7,1921,0,400Gbps,1ns
9,0,1025,1,400Gbps,1ns
9,1,1153,1,400Gbps,1ns
9,2,1281,1,400Gbps,1ns
9,3,1409,1,400Gbps,1ns
9,4,1537,1,400Gbps,1ns
9,5,1665,1,400Gbps,1ns
9,6,1793,1,400Gbps,1ns
9,7,1921,1,400Gbps,1ns
10,0,1025,2,400Gbps,1ns
10,1,1153,2,400Gbps,1ns
10,2,1281,2,400Gbps,1ns
10,3,1409,2,400Gbps,1ns
10,4,1537,2,400Gbps,1ns
10,5,1665,2,400Gbps,1ns
10,6,1793,2,400Gbps,1ns
10,7,1921,2,400Gbps,1ns
11,0,1025,3,400Gbps,1ns
11,1,1153,3,400Gbps,1ns
11,2,1281,3,400Gbps,1ns
11,3,1409,3,400Gbps,1ns
11,4,1537,3,400Gbps,1ns
11,5,1665,3,400Gbps,1ns
11,6,1793,3,400Gbps,1ns
11,7,1921,3,400Gbps,1ns
12,0,1025,4,400Gbps,1ns
12,1,1153,4,400Gbps,1ns
12,2,1281,4,400Gbps,1ns
12,3,1409,4,400Gbps,1ns
12,4,1537,4,400Gbps,1ns
12,5,1665,4,400Gbps,1ns
12,6,1793,4,400Gbps,1ns
12,7,1921,4,400Gbps,1ns
13,0,1025,5,400Gbps,1ns
13,1,1153,5,400Gbps,1ns
13,2,1281,5,400Gbps,1ns
13,3,1409,5,400Gbps,1ns
13,4,1537,5,400Gbps,1ns
13,5,1665,5,400Gbps,1ns
13,6,1793,5,400Gbps,1ns
13,7,1921,5,400Gbps,1ns
14,0,1025,6,400Gbps,1ns
14,1,1153,6,400Gbps,1ns
14,2,1281,6,400Gbps,1ns
14,3,1409,6,400Gbps,1ns
14,4,1537,6,400Gbps,1ns
14,5,1665,6,400Gbps,1ns
14,6,1793,6,400Gbps,1ns
14,7,1921,6,400Gbps,1ns
15,0,1025,7,400Gbps,1ns
15,1,1153,7,400Gbps,1ns
15,2,1281,7,400Gbps,1ns
15,3,1409,7,400Gbps,1ns
15,4,1537,7,400Gbps,1ns
15,5,1665,7,400Gbps,1ns
15,6,1793,7,400Gbps,1ns
15,7,1921,7,400Gbps,1ns
16,0,1026,0,400Gbps,1ns
16,1,1154,0,400Gbps,1ns
16,2,1282,0,400Gbps,1ns
16,3,1410,0,400Gbps,1ns
16,4,1538,0,400Gbps,1ns
16,5,1666,0,400Gbps,1ns
16,6,1794,0,400Gbps,1ns
16,7,1922,0,400Gbps,1ns
17,0,1026,1,400Gbps,1ns
17,1,1154,1,400Gbps,1ns
17,2,1282,1,400Gbps,1ns
17,3,1410,1,400Gbps,1ns
17,4,1538,1,400Gbps,1ns
17,5,1666,1,400Gbps,1ns
