nodeId1,portId1,nodeId2,portId2,bandwidth,delay
0,0,512,0,400Gbps,1ns
0,1,576,0,400Gbps,1ns
0,2,640,0,400Gbps,1ns
0,3,704,0,400Gbps,1ns
0,4,768,0,400Gbps,1ns
0,5,832,0,400Gbps,1ns
0,6,896,0,400Gbps,1ns
0,7,960,0,400Gbps,1ns
1,0,512,1,400Gbps,1ns
1,1,576,1,400Gbps,1ns
1,2,640,1,400Gbps,1ns
1,3,704,1,400Gbps,1ns
1,4,768,1,400Gbps,1ns
1,5,832,1,400Gbps,1ns
1,6,896,1,400Gbps,1ns
1,7,960,1,400Gbps,1ns
2,0,512,2,400Gbps,1ns
2,1,576,2,400Gbps,1ns
2,2,640,2,400Gbps,1ns
2,3,704,2,400Gbps,1ns
2,4,768,2,400Gbps,1ns
2,5,832,2,400Gbps,1ns
2,6,896,2,400Gbps,1ns
2,7,960,2,400Gbps,1ns
3,0,512,3,400Gbps,1ns
3,1,576,3,400Gbps,1ns
3,2,640,3,400Gbps,1ns
3,3,704,3,400Gbps,1ns
3,4,768,3,400Gbps,1ns
3,5,832,3,400Gbps,1ns
3,6,896,3,400Gbps,1ns
3,7,960,3,400Gbps,1ns
4,0,512,4,400Gbps,1ns
4,1,576,4,400Gbps,1ns
4,2,640,4,400Gbps,1ns
4,3,704,4,400Gbps,1ns
4,4,768,4,400Gbps,1ns
4,5,832,4,400Gbps,1ns
4,6,896,4,400Gbps,1ns
4,7,960,4,400Gbps,1ns
5,0,512,5,400Gbps,1ns
5,1,576,5,400Gbps,1ns
5,2,640,5,400Gbps,1ns
5,3,704,5,400Gbps,1ns
5,4,768,5,400Gbps,1ns
5,5,832,5,400Gbps,1ns
5,6,896,5,400Gbps,1ns
5,7,960,5,400Gbps,1ns
6,0,512,6,400Gbps,1ns
6,1,576,6,400Gbps,1ns
6,2,640,6,400Gbps,1ns
6,3,704,6,400Gbps,1ns
6,4,768,6,400Gbps,1ns
6,5,832,6,400Gbps,1ns
6,6,896,6,400Gbps,1ns
6,7,960,6,400Gbps,1ns
7,0,512,7,400Gbps,1ns
7,1,576,7,400Gbps,1ns
7,2,640,7,400Gbps,1ns
7,3,704,7,400Gbps,1ns
7,4,768,7,400Gbps,1ns
7,5,832,7,400Gbps,1ns
7,6,896,7,400Gbps,1ns
7,7,960,7,400Gbps,1ns
8,0,513,0,400Gbps,1ns
8,1,577,0,400Gbps,1ns
8,2,641,0,400Gbps,1ns
8,3,705,0,400Gbps,1ns
8,4,769,0,400Gbps,1ns
8,5,833,0,400Gbps,1ns
8,6,897,0,400Gbps,1ns
8,7,961,0,400Gbps,1ns
9,0,513,1,400Gbps,1ns
9,1,577,1,400Gbps,1ns
9,2,641,1,400Gbps,1ns
9,3,705,1,400Gbps,1ns
9,4,769,1,400Gbps,1ns
9,5,833,1,400Gbps,1ns
9,6,897,1,400Gbps,1ns
9,7,961,1,400Gbps,1ns
10,0,513,2,400Gbps,1ns
10,1,577,2,400Gbps,1ns
