pod,alg,size,status,ranks,avg,min,max,p50,global_gbs,makespan,total_bytes
256,baseline,16,ok,256,25.335396101255757,23.43294920477469,28.428962906078027,25.082887586542537,5998.834996422321,715.9669,4294967296
256,baseline,64,ok,256,99.18464531244516,94.53831192260006,109.58871610669495,98.05720381510858,24201.807852185615,709.85892,17179869184
256,baseline,128,ok,256,194.2306461805125,178.5104707566517,218.41065367337237,194.33212525320556,45698.680513702835,751.87594,34359738368
256,baseline,256,ok,256,183.93797168506745,161.08669759130743,207.15770861359726,183.0048057009364,41238.1945833747,1666.40362,68719476736
256,baseline,512,ok,256,162.86120482361687,147.4891424774893,190.21708938862196,163.6645472651219,37757.22047423726,3640.07074,137438953472
256,baseline,1024,ok,256,164.58490824213106,138.25963755042764,195.25998721114178,165.90219696447156,35394.467212909476,7766.12642,274877906944
256,meshclos,16,ok,256,187.38320751009473,187.016243684925,187.6002284674566,187.3958401056987,47876.1583833408,89.70994,4294967296
256,meshclos,64,ok,256,214.1127061847618,213.9893428888585,214.19833090362584,214.1193745771254,54781.27177954777,313.60844,17179869184
256,meshclos,128,ok,256,218.85133962416975,218.78185508441368,218.9049959069194,218.85189383558009,56008.1549016099,613.47742,34359738368
256,meshclos,256,ok,256,221.4877715865058,221.43132516699526,221.5299238978518,221.49443315426996,56686.41924275079,1212.27408,68719476736
256,meshclos,512,ok,256,222.95200342187468,222.91271785501056,222.9919045523998,222.9532106113116,57065.6557708827,2408.43554,137438953472
256,meshclos,1024,ok,256,223.67191670397375,223.6322116579586,223.69900770677125,223.6716649021278,57249.8461844374,4801.37372,274877906944
512,baseline,16,ok,512,24.767875899638163,22.939251894955795,26.53881713536701,24.854782061865848,11744.896970217367,731.3759,8589934592
512,baseline,64,ok,512,48.5204522490925,42.1432150033641,52.234036417492376,48.64383007446467,21577.326081722418,1592.4002,34359738368
512,baseline,128,ok,512,96.61382327522142,87.82652461431384,105.17852927427717,96.68215767736021,44967.180602528686,1528.21404,68719476736
512,baseline,256,ok,512,190.58349311303135,171.22432272598434,203.2588909400215,192.43291663418552,87666.85323570398,1567.74138,137438953472
512,baseline,512,ok,512,184.93379386100105,159.39303075486671,202.27033837098534,186.0009444671828,81609.23174649176,3368.22074,274877906944
512,baseline,1024,ok,512,163.8677105191274,134.63159393422845,193.59942639249044,164.98593552925226,68931.37609432497,7975.4075,549755813888
512,meshclos,16,ok,512,152.4969370610831,152.2812300483478,152.64289809787036,152.513559641744,77967.98978475407,110.17258,8589934592
512,meshclos,64,ok,512,190.65896781810187,190.5683565300967,190.71333393807905,190.661897775139,97570.99854340951,352.15114,34359738368
512,meshclos,128,ok,512,199.20104403440837,199.14602270973745,199.2297211006846,199.2041760859962,101962.76362738558,673.9664,68719476736
512,meshclos,256,ok,512,203.82096879623083,203.7821000767422,203.84187537942879,203.82324638464104,104336.43523929201,1317.2671,137438953472
512,meshclos,512,ok,512,205.87587534719228,205.85237061605974,205.88876691786737,205.8776502498585,105396.41375542259,2608.03852,274877906944
512,meshclos,1024,ok,512,206.77600159733728,206.7502464038835,206.7891512803261,206.7761114109968,105856.12615878835,5193.42464,549755813888
1024,baseline,16,missing,,,,,,,,
1024,baseline,64,missing,,,,,,,,
1024,baseline,128,missing,,,,,,,,
1024,baseline,256,missing,,,,,,,,
1024,baseline,512,missing,,,,,,,,
1024,baseline,1024,missing,,,,,,,,
1024,meshclos,16,missing,,,,,,,,
1024,meshclos,64,missing,,,,,,,,
1024,meshclos,128,missing,,,,,,,,
1024,meshclos,256,missing,,,,,,,,
1024,meshclos,512,missing,,,,,,,,
1024,meshclos,1024,missing,,,,,,,,
