nodeId,originalNodeId,role
0,0,NPU
1,1,NPU
2,2,NPU
3,3,NPU
4,4,NPU
5,5,NPU
6,6,NPU
7,7,NPU
8,8,NPU
9,9,NPU
10,10,NPU
11,11,NPU
12,12,NPU
13,13,NPU
14,14,NPU
15,15,NPU
16,16,NPU
17,17,NPU
18,18,NPU
19,19,NPU
20,20,NPU
21,21,NPU
22,22,NPU
23,23,NPU
24,24,NPU
25,25,NPU
26,26,NPU
27,27,NPU
28,28,NPU
29,29,NPU
30,30,NPU
31,31,NPU
32,32,NPU
33,33,NPU
34,34,NPU
35,35,NPU
36,36,NPU
37,37,NPU
38,38,NPU
39,39,NPU
40,40,NPU
41,41,NPU
42,42,NPU
43,43,NPU
44,44,NPU
45,45,NPU
46,46,NPU
47,47,NPU
48,48,NPU
49,49,NPU
50,50,NPU
51,51,NPU
52,52,NPU
53,53,NPU
54,54,NPU
55,55,NPU
56,56,NPU
57,57,NPU
58,58,NPU
59,59,NPU
60,60,NPU
61,61,NPU
62,62,NPU
63,63,NPU
64,64,L1
65,65,L1
66,66,L1
67,67,L1
68,68,L1
69,69,L1
70,70,L1
71,71,L1
72,72,L1
73,73,L1
74,74,L1
75,75,L1
76,76,L1
77,77,L1
78,78,L1
79,79,L1
80,80,L1
81,81,L1
82,82,L1
83,83,L1
84,84,L1
85,85,L1
86,86,L1
87,87,L1
88,88,L1
89,89,L1
90,90,L1
91,91,L1
92,92,L1
93,93,L1
94,94,L1
95,95,L1
96,96,L1
97,97,L1
98,98,L1
99,99,L1
100,100,L1
101,101,L1
102,102,L1
103,103,L1
104,104,L1
105,105,L1
106,106,L1
107,107,L1
108,108,L1
109,109,L1
110,110,L1
111,111,L1
112,112,L1
113,113,L1
114,114,L1
115,115,L1
116,116,L1
117,117,L1
118,118,L1
119,119,L1
120,120,L1
121,121,L1
122,122,L1
123,123,L1
124,124,L1
125,125,L1
126,126,L1
127,127,L1
128,128,L2
129,129,L2
130,130,L2
131,131,L2
132,132,L2
133,133,L2
134,134,L2
135,135,L2
136,136,L2
137,137,L2
138,138,L2
139,139,L2
140,140,L2
141,141,L2
142,142,L2
143,143,L2
144,144,5808
145,145,5808
146,146,5808
147,147,5808
148,148,5808
149,149,5808
150,150,5808
151,151,5808
152,152,5808
153,153,5808
154,154,5808
155,155,5808
156,156,5808
157,157,5808
158,158,5808
159,159,5808
160,160,5808
161,161,5808
162,162,5808
163,163,5808
164,164,5808
165,165,5808
166,166,5808
167,167,5808
168,168,5808
169,169,5808
170,170,5808
171,171,5808
172,172,5808
173,173,5808
174,174,5808
175,175,5808
